power.draw [W], utilization.gpu [%], memory.used [MiB], memory.free [MiB], fan.speed [%], temperature.gpu
29.89 W, 0 %, 1001 MiB, 14078 MiB, [N/A], 56
power.draw [W], utilization.gpu [%], memory.used [MiB], memory.free [MiB], fan.speed [%], temperature.gpu
29.89 W, 0 %, 1001 MiB, 14078 MiB, [N/A], 56
power.draw [W], utilization.gpu [%], memory.used [MiB], memory.free [MiB], fan.speed [%], temperature.gpu
29.89 W, 0 %, 1001 MiB, 14078 MiB, [N/A], 56
power.draw [W], utilization.gpu [%], memory.used [MiB], memory.free [MiB], fan.speed [%], temperature.gpu
29.89 W, 0 %, 1001 MiB, 14078 MiB, [N/A], 56
power.draw [W], utilization.gpu [%], memory.used [MiB], memory.free [MiB], fan.speed [%], temperature.gpu
29.89 W, 0 %, 1001 MiB, 14078 MiB, [N/A], 56
power.draw [W], utilization.gpu [%], memory.used [MiB], memory.free [MiB], fan.speed [%], temperature.gpu
29.89 W, 0 %, 1001 MiB, 14078 MiB, [N/A], 56
power.draw [W], utilization.gpu [%], memory.used [MiB], memory.free [MiB], fan.speed [%], temperature.gpu
29.89 W, 0 %, 1001 MiB, 14078 MiB, [N/A], 56
power.draw [W], utilization.gpu [%], memory.used [MiB], memory.free [MiB], fan.speed [%], temperature.gpu
29.89 W, 0 %, 1001 MiB, 14078 MiB, [N/A], 56
power.draw [W], utilization.gpu [%], memory.used [MiB], memory.free [MiB], fan.speed [%], temperature.gpu
29.89 W, 0 %, 1001 MiB, 14078 MiB, [N/A], 57
power.draw [W], utilization.gpu [%], memory.used [MiB], memory.free [MiB], fan.speed [%], temperature.gpu
29.99 W, 0 %, 1001 MiB, 14078 MiB, [N/A], 56
power.draw [W], utilization.gpu [%], memory.used [MiB], memory.free [MiB], fan.speed [%], temperature.gpu
29.99 W, 0 %, 1001 MiB, 14078 MiB, [N/A], 56
power.draw [W], utilization.gpu [%], memory.used [MiB], memory.free [MiB], fan.speed [%], temperature.gpu
29.99 W, 0 %, 1001 MiB, 14078 MiB, [N/A], 56
power.draw [W], utilization.gpu [%], memory.used [MiB], memory.free [MiB], fan.speed [%], temperature.gpu
29.99 W, 0 %, 1001 MiB, 14078 MiB, [N/A], 56
power.draw [W], utilization.gpu [%], memory.used [MiB], memory.free [MiB], fan.speed [%], temperature.gpu
29.99 W, 0 %, 1001 MiB, 14078 MiB, [N/A], 56
power.draw [W], utilization.gpu [%], memory.used [MiB], memory.free [MiB], fan.speed [%], temperature.gpu
29.99 W, 0 %, 1001 MiB, 14078 MiB, [N/A], 56
power.draw [W], utilization.gpu [%], memory.used [MiB], memory.free [MiB], fan.speed [%], temperature.gpu
29.99 W, 0 %, 1225 MiB, 13854 MiB, [N/A], 56
power.draw [W], utilization.gpu [%], memory.used [MiB], memory.free [MiB], fan.speed [%], temperature.gpu
30.28 W, 0 %, 1225 MiB, 13854 MiB, [N/A], 57
power.draw [W], utilization.gpu [%], memory.used [MiB], memory.free [MiB], fan.speed [%], temperature.gpu
30.28 W, 0 %, 1225 MiB, 13854 MiB, [N/A], 57
power.draw [W], utilization.gpu [%], memory.used [MiB], memory.free [MiB], fan.speed [%], temperature.gpu
30.28 W, 0 %, 1225 MiB, 13854 MiB, [N/A], 57
power.draw [W], utilization.gpu [%], memory.used [MiB], memory.free [MiB], fan.speed [%], temperature.gpu
30.28 W, 0 %, 1225 MiB, 13854 MiB, [N/A], 56
power.draw [W], utilization.gpu [%], memory.used [MiB], memory.free [MiB], fan.speed [%], temperature.gpu
30.28 W, 0 %, 1225 MiB, 13854 MiB, [N/A], 56
power.draw [W], utilization.gpu [%], memory.used [MiB], memory.free [MiB], fan.speed [%], temperature.gpu
30.28 W, 0 %, 1313 MiB, 13766 MiB, [N/A], 56
power.draw [W], utilization.gpu [%], memory.used [MiB], memory.free [MiB], fan.speed [%], temperature.gpu
30.28 W, 0 %, 1315 MiB, 13764 MiB, [N/A], 56
power.draw [W], utilization.gpu [%], memory.used [MiB], memory.free [MiB], fan.speed [%], temperature.gpu
30.68 W, 0 %, 1315 MiB, 13764 MiB, [N/A], 57
power.draw [W], utilization.gpu [%], memory.used [MiB], memory.free [MiB], fan.speed [%], temperature.gpu
30.68 W, 0 %, 1315 MiB, 13764 MiB, [N/A], 56
power.draw [W], utilization.gpu [%], memory.used [MiB], memory.free [MiB], fan.speed [%], temperature.gpu
30.68 W, 0 %, 1315 MiB, 13764 MiB, [N/A], 56
power.draw [W], utilization.gpu [%], memory.used [MiB], memory.free [MiB], fan.speed [%], temperature.gpu
30.68 W, 0 %, 1315 MiB, 13764 MiB, [N/A], 57
power.draw [W], utilization.gpu [%], memory.used [MiB], memory.free [MiB], fan.speed [%], temperature.gpu
30.68 W, 0 %, 1315 MiB, 13764 MiB, [N/A], 57
power.draw [W], utilization.gpu [%], memory.used [MiB], memory.free [MiB], fan.speed [%], temperature.gpu
30.68 W, 14 %, 1411 MiB, 13668 MiB, [N/A], 57
power.draw [W], utilization.gpu [%], memory.used [MiB], memory.free [MiB], fan.speed [%], temperature.gpu
30.68 W, 14 %, 1539 MiB, 13540 MiB, [N/A], 57
power.draw [W], utilization.gpu [%], memory.used [MiB], memory.free [MiB], fan.speed [%], temperature.gpu
57.11 W, 14 %, 1663 MiB, 13416 MiB, [N/A], 57
power.draw [W], utilization.gpu [%], memory.used [MiB], memory.free [MiB], fan.speed [%], temperature.gpu
57.11 W, 14 %, 2009 MiB, 13070 MiB, [N/A], 57
power.draw [W], utilization.gpu [%], memory.used [MiB], memory.free [MiB], fan.speed [%], temperature.gpu
57.11 W, 14 %, 2889 MiB, 12190 MiB, [N/A], 57
power.draw [W], utilization.gpu [%], memory.used [MiB], memory.free [MiB], fan.speed [%], temperature.gpu
57.11 W, 14 %, 2893 MiB, 12186 MiB, [N/A], 57
power.draw [W], utilization.gpu [%], memory.used [MiB], memory.free [MiB], fan.speed [%], temperature.gpu
